GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
1494_f_at 5.60395020094165 5.76968617908169 5.55879871392835 5.99197022200584 5.69925051146824 5.73822002778227 5.61394991525996 5.84490795961425 5.69891418748121 5.72123779894564
1598_g_at 8.66946339702389 9.04193487311241 8.91631263574474 9.01921312664069 8.81320227659758 9.16030963585792 8.72826003045429 8.92731803473282 8.61895694893374 8.72742303394135
160020_at 6.17648424382923 6.17071628003764 6.06637906793033 6.18766559197059 6.21227251209551 5.88590531264258 6.01865248059552 6.12971924083838 6.30841814425097 6.23609832758951
1729_at 6.21035852680346 6.28801949913543 6.31770911264174 6.27023890315692 6.33492860274536 6.13642429880101 6.14911309810842 6.19360661872406 6.27993816527301 6.53363808865255
177_at 3.60686010300441 3.72416603476493 3.74390972985608 3.75944628613604 3.69742429057451 3.61826551973433 3.57826269332688 3.76050752254772 4.04135684826832 3.63665876495457
1773_at 4.17507777505768 4.20880895498319 4.09815956947144 4.35736887444735 4.38830167364219 4.42703853991457 4.00283638570247 4.37810626321217 4.18722842470559 4.14452750903811
1861_at 4.52297946802806 4.56305233583816 4.64105048713611 4.72771438882598 4.64500798857201 4.52541461375423 4.33632355100651 4.26794634970772 4.59513465769138 4.61307075667522
200000_s_at 7.59485951814557 7.7682727699121 7.84479211962988 7.24242503088399 7.65114443996884 7.67672333867277 7.44849518619628 7.59833997112168 7.55907444228177 7.63759868462965
200001_at 8.02729695236115 8.00515808027582 8.14475876397811 8.11927478203125 8.62510585943431 8.71472409218627 7.96786269712425 8.32510862783257 8.05368788624395 8.40264827983695
200002_at 10.3657292299637 9.80595489829772 10.0417071356367 9.77450062497739 9.77079742700444 9.75032157883235 9.69588667861246 9.91883626664892 9.88618451758609 9.93770723195717
200003_s_at 10.4681541601305 9.7691674234804 10.335559797052 9.9370709061276 9.90910839190877 9.68426104346814 9.58118888514468 10.3219363218254 10.2358949238906 10.2576106798176
200004_at 8.64766224679037 8.49667009393307 8.53631277607748 7.79818945960309 8.54614439493605 8.64793290436891 8.55200389743653 8.34241866813665 8.3332367886858 8.14873805352891
200005_at 7.63664733896646 7.53511047889602 7.81021938223109 7.49152302688863 7.54858573887762 7.38797657347969 7.40744747281282 7.43272481487045 7.59816494014393 7.74029957470087
