GSM506015 GSM506016 GSM506017 GSM506018 GSM506021 GSM506022 GSM506013 GSM506014 GSM506019
200024_at 11.2221548654636 10.7922348666332 10.9808345239895 11.226086522622 11.1553671659704 10.6210098444446 10.717482167552 10.9147969862534 10.992465687549
200025_s_at 11.7055315019802 11.39022669671 10.8612162222782 11.7255698877294 11.286730982708 11.2879470015086 11.3509136589596 11.6016900560792 11.1575347082746
200026_at 11.9641631015203 11.805345729093 11.8109732001138 12.0105677008985 12.0883686898928 11.6586504714786 11.8332265430014 11.7830360080827 11.7766258476238
200027_at 9.98876588357606 9.88505641965964 9.65311266893132 9.70622183023584 9.72443316266882 9.45319140097195 10.1048573146505 9.93645136085701 9.91010709605557
200028_s_at 9.62410687038061 10.2900310640498 10.0035302827167 10.0629612961013 10.2407137323278 10.2600061209457 9.85171597796013 10.1227502751445 10.2326727032616
200029_at 11.8845539763153 11.5404111141377 11.2932724071202 11.7900724330473 11.6398353509388 11.5904782036979 11.4758701245868 11.7782824109452 11.5619788580297
200030_s_at 10.9739122350357 10.7725124753972 10.3952684036092 10.4950043889603 10.3894542693786 10.6595550214719 10.975681778011 11.2943549047566 10.6722494553915
200031_s_at 11.9427742572938 11.6703891514272 11.6976268927279 11.9346844489804 11.7682932035615 11.603568880982 11.5630397947291 11.897175112253 11.6637894143707
200032_s_at 11.7767102888248 11.1477254198652 11.5957805879978 11.7770395798799 11.7588198498198 11.3241748834492 11.4407591435587 11.4900153687523 11.2730564738989
200033_at 10.2595328300369 10.1451055700039 9.33425123211011 10.2420465469665 10.2516053264457 10.165321544719 10.3085447898836 9.9988388633029 9.65051005710668
200034_s_at 10.9637206756343 10.6179066430636 10.4797741028857 10.8902861864801 10.8986038291001 10.5893980849985 10.5737126698352 10.8479309116171 10.7106782092367
200035_at 8.22211566999651 8.25581050985569 8.37928193798714 8.72202508909759 8.19003111203824 8.33675949492007 8.33675949492007 8.33675949492007 8.44350342485548
200036_s_at 10.5585472853649 9.74804385550651 9.47733695468508 10.0070999868436 9.96166824741457 9.87443657108254 9.74250347799959 10.1794607183541 9.42962695681249
200037_s_at 7.6452174996452 7.43024831137893 7.44844035751044 7.50597775458331 8.27291752115983 7.45068354125231 7.6341738262077 7.73382047981521 7.81798645591908
200038_s_at 11.5740574754723 10.8248722016616 11.1384405899756 11.1643982623352 11.2349279647537 10.6762949948038 11.0291903436914 11.1742709837175 11.0203783123353
200039_s_at 9.35360296814159 9.22067654711776 9.33753751745275 9.08783622394159 9.57176515932186 8.94891229207622 9.33753751745275 9.49238907884272 9.33753751745275
200040_at 9.51239065659383 9.17601762005337 8.94021731671836 9.22840115114298 9.44521136184487 9.0913352999912 9.34699951422595 9.22840115114298 9.19131115299536
200041_s_at 9.75891656173192 9.03797155115482 9.27270469526085 9.7118031863303 9.35825587594858 9.2792380697036 9.42782181596951 9.38333455267473 9.47418824626072
200042_at 9.22288877075121 8.94382551776073 8.69653957141112 8.82501209035109 8.94071389133572 8.73198771857238 9.05623410063272 9.26057938811693 8.91056535573769
200043_at 9.77391126639262 9.63274471607419 9.24211540637138 9.67666450506655 9.8640796929338 9.50612721733837 9.63274471607419 9.66651725353492 9.3461572044468
200044_at 8.92338181415888 9.12790762091171 8.46052341491164 9.05191734867214 9.26059308667869 8.94695068622145 9.05191734867214 9.12212607691937 8.86421334206449
200045_at 8.03420515605498 8.15012432216197 8.06183606642006 7.97196457090815 8.08216488500259 7.91087575160026 7.98338635779194 8.08700142623943 8.40576104883008
200046_at 9.44521248532621 9.44931953344861 9.21420021834986 9.30496207142535 9.40558101797866 9.41823440826172 9.40558101797866 9.33761548366407 9.33209490949108
200047_s_at 6.98709796408969 6.79903380224719 6.7236192525518 7.32219106157509 7.73824047753636 6.56119610214296 6.98709796408969 6.75800687253186 7.18659745697964
200048_s_at 9.77459663057856 9.90219998430961 9.27983222796461 9.75799161948585 9.75497273617183 9.68477439344275 9.69397272443403 9.71564803878173 9.75998783531361
200049_at 8.18535182531171 8.56714802846838 8.65108020272046 8.52445476095727 8.6413714472618 8.38611406858013 8.58107260079368 8.35954534959455 8.79398883454497
