Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR	PD_Avg_Log_FC	PD_Avg_FC
8785	5893	-0.643189079204726	-0.884719847184877	-0.767050175306824	-0.419836009094254	-0.387759650504076	-0.555141683816762	-0.352265946172624	0.0628083086515023	0.0366694729711363	0.423148368670985	0.573247007938321	0.343163946843989	0.104347307384968	0.929399992157675	-5.24123077745596	1.59509073061059e-07	1	44	0.00165283301505869	0.000141345231885248	-0.572851770183449	0.672286567664707
7129	7511	-2.84947341251417	NA	-0.789236387471996	NA	-1.35101775182006	-2.78196870247448	-0.697618090333999	0.0350085502411544	NA	0.515053658103094	NA	0.135646109985837	0.0450521632197286	0.933016440633298	-5.23645655984007	1.63688745669077e-07	138	29	0.00169614278262298	0.000141345231885248	-1.69386286892294	0.309098194241514
4224	4719	-0.495204899920662	-0.448938917146037	-1.85296339783371	-0.899988778578031	-0.345358352540121	-0.492208765179283	-0.643438406283517	0.117340075241511	0.219007357975964	0.074663224746569	0.18270374543215	0.507719387534641	0.103352980574919	0.929399992157675	-5.20960035143333	1.89247828075167e-07	1	79	0.00196098599451488	0.000150845076501145	-0.739728788211623	0.598851919712993
822	1507	-0.310117076137297	-1.9936080270369	-1.93140457686061	-0.330076013689295	-0.891007747075044	-0.22030955077885	-0.546229368268307	0.456303211462269	0.00611433208515168	0.111371407010086	0.8863359271475	0.116902524885472	0.132441938253325	0.929399992157675	-5.16602741823022	2.39121729084246e-07	1	44	0.00247777935677096	0.000176984239769354	-0.888964622835186	0.540001521445702
6520	6624	-0.752800231466995	-0.396816368323248	-1.82805408026831	-0.644786128497448	-0.475740656532622	-0.326930956714602	-0.383778252112646	0.0542132111326704	0.248079121687733	0.101105536562486	0.264516435551615	0.286961219178256	0.228764519485998	0.929399992157675	-5.09801417138704	3.43235129207642e-07	1	79	0.00355660240884959	0.000237106827256639	-0.686986667702267	0.621149881063671
147	1359	-1.63727649049876	NA	NA	NA	NA	-0.542473221919028	NA	0.0156734647039146	NA	NA	NA	NA	0.0888515964200466	NA	-5.00134648340265	5.69312905707164e-07	188	39	0.00589922032893763	0.000347012960525743	-1.08987485620889	0.469802124916291
7536	8929	-0.840051328276664	-0.389825365474676	-0.680904029295204	-0.803255602868425	-0.727066582095595	-0.419548348249538	-0.364854021218595	0.0857139954864023	0.433228349510469	0.222197643674006	0.310084374950303	0.204785448466603	0.0888515964200466	0.93338812403712	-4.92957159205165	8.24101321850179e-07	1	79	0.00853933789701155	0.000454580391506996	-0.603643611068385	0.658089810351333
1940	2509	-0.368194760763699	-1.02982804785312	-1.47516688931313	-0.397281439957007	-0.523122738466862	-0.177911873768178	-0.0881423544524997	0.209657144149291	0.00517014957342323	0.107353872141881	0.781184586740918	0.13300177582906	0.419069439938761	0.961996762220307	-4.92734875334828	8.33528994270694e-07	1	44	0.00863702743863293	0.000454580391506996	-0.579949729224928	0.66898708787278
672	7342	-0.231562793031911	-0.880547919630436	-1.69069844820031	-0.383214347204882	-0.730260312793655	-0.55054776702352	-0.189866384210726	0.260649731056543	0.0576914189763028	0.0686499430356924	0.433458724963946	0.234320773462272	0.233062373266674	0.942384793048429	-4.88637890901664	1.02707447080519e-06	1	79	0.0106425456664834	0.000486121524965276	-0.665242567442206	0.630582672523077
2143	2860	-1.91800870265795	-0.611519778423062	-1.51781604511312	-1.6913336590894	-1.0765861866403	-1.6580460491492	-0.549395559923822	0.0924772687734073	0.607918346209607	0.209298630356532	0.184274389838148	0.201310447287015	0.0798230025864684	0.942384793048429	-4.88448760683164	1.03698164477528e-06	1	79	0.0107452038031615	0.000486121524965276	-1.28895799728526	0.409246505450622
4864	697	-0.343031693097375	-0.155471537906712	-2.52071888406029	-0.608368375582023	-1.1329342642883	-0.504324510543691	-0.337303130593977	0.259549124269778	0.269299242888472	0.0755873351140779	0.287299448961694	0.169328456448365	0.160578535857838	0.92952212894874	-4.87424195944499	1.09227051292571e-06	1	79	0.0113181070549362	0.000486121524965276	-0.800307485153195	0.574226778085505
2694	2976	-0.997934082756919	-1.36630039141907	NA	-0.815998848135949	-0.503091899452418	-0.727617923101459	NA	0.0785254077073171	0.021113318225154	NA	0.510282838425518	0.45352328470521	0.104347307384968	NA	-4.86766527461989	1.12924382600355e-06	46	63	0.0117012245250488	0.000486121524965276	-0.882188628973163	0.54254374498857
5075	1365	-0.929927707252048	-0.799443934219861	NA	-0.928955347680759	-0.597040297832153	-0.24356689355251	-0.0122073844594235	0.0814678786498873	0.12182828689929	NA	0.294291742684621	0.129294967083245	0.227172585094466	0.998721335394231	-4.86352438911	1.15313809234685e-06	45	100	0.0119488169128981	0.000486121524965276	-0.585190260832792	0.666561427454527
6647	12	-0.222340404596334	-0.570782929579807	-1.90804263724458	-0.784294329719646	-0.992336726241492	-0.230976117712233	-0.496073193855722	0.423491010114331	0.0762586440675765	0.0810471599291571	0.167429644061742	0.176695409059409	0.284054323407767	0.929399992157675	-4.81153942955695	1.49772178614782e-06	1	79	0.0155193931480637	0.000596899736463989	-0.743549476992831	0.597268078548422
7079	6800	-1.32020662598512	-0.29571345988726	NA	-1.56483831835362	-1.22432984037719	-1.30247154040094	NA	0.0896853755419281	0.752871382531681	NA	0.26157729213316	0.172301866450784	0.0798230025864684	NA	-4.75306251983157	2.00358358504182e-06	46	101	0.0207611331082033	0.000741469039578691	-1.14151195700083	0.453284282758957
