Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR	PD_Avg_Log_FC	PD_Avg_FC
5950	103	0.0207331302888045	NA	NA	NA	NA	NA	NA	0.909936403725243	NA	NA	NA	NA	NA	NA	0.113118757979593	0.909936403725243	698	151	1	0.959696077704708	0.0207331302888045	1.01447487167389
4476	5374	-0.0189466860542273	NA	NA	NA	NA	NA	NA	0.909936403725243	NA	NA	NA	NA	NA	NA	-0.113118757979593	0.909936403725243	191	151	1	0.959696077704708	-0.0189466860542273	0.986953017479585
4135	3234	-0.0227356915040593	NA	NA	NA	NA	NA	NA	0.910011903679336	NA	NA	NA	NA	NA	NA	-0.113023525986922	0.910011903679336	191	151	1	0.959696077704708	-0.0227356915040593	0.984364345678803
3764	5160	-0.0191979908051021	NA	NA	NA	NA	NA	NA	0.910149032596119	NA	NA	NA	NA	NA	NA	-0.11285056082059	0.910149032596119	191	151	1	0.959696077704708	-0.0191979908051021	0.986781113941804
9141	79	0.18682128276793	NA	-1.94148616898429	NA	NA	NA	NA	0.246997811618892	NA	0.111161122278153	NA	NA	NA	NA	0.112791621685875	0.910195760880581	642	132	1	0.959696077704708	-0.87733244310818	0.544373052241257
6568	1122	-0.02378180718505	NA	NA	NA	NA	NA	NA	0.910245518949031	NA	NA	NA	NA	NA	NA	-0.112728861466757	0.910245518949031	191	151	1	0.959696077704708	-0.02378180718505	0.983650829867419
8901	8082	0.0931873273012576	1.08942607992828	NA	0.116970576650197	-0.462413616112879	-0.422608250088667	NA	0.778705668897655	0.00231695387361779	NA	0.879542470060636	0.459281268376813	0.193385807334519	NA	0.112583458323108	0.910360800006751	846	63	1	0.959696077704708	0.0829124235356377	1.059154038503
6981	4804	-0.0240753176842894	NA	NA	NA	NA	NA	NA	0.910423899231546	NA	NA	NA	NA	NA	NA	-0.112503872746713	0.910423899231546	191	151	1	0.959696077704708	-0.0240753176842894	0.983450730420668
1217	8816	0.0307673076283779	NA	NA	NA	NA	NA	NA	0.910423899231546	NA	NA	NA	NA	NA	NA	0.112503872746713	0.910423899231546	698	151	1	0.959696077704708	0.0307673076283779	1.02155530270855
7968	9485	0.0545523793741962	NA	-1.51482188044943	NA	NA	0.129328186170975	0.0589481297982166	0.735069751731556	NA	0.0802364808177394	NA	NA	0.337272986634118	0.960371305960403	0.112054753522142	0.910779992861955	646	129	1	0.959787751557271	-0.317998296276511	0.802182113673759
8760	9005	0.0159839402896855	NA	NA	NA	NA	NA	NA	0.910933050690376	NA	NA	NA	NA	NA	NA	0.111861717948565	0.910933050690376	698	151	1	0.959787751557271	0.0159839402896855	1.01114082502893
1864	9572	-0.0145212804450434	NA	NA	NA	NA	NA	NA	0.910991465370637	NA	NA	NA	NA	NA	NA	-0.111788046819423	0.910991465370637	191	151	1	0.959787751557271	-0.0145212804450434	0.98998510185445
4040	510	0.0325873145432354	NA	NA	NA	NA	NA	NA	0.911102760307616	NA	NA	NA	NA	NA	NA	0.111647686116081	0.911102760307616	698	151	1	0.959787751557271	0.0325873145432354	1.02284484131509
2422	9276	-0.0396094720718771	0.0691167008580464	NA	-0.0674298227776031	0.17574954775295	-0.10122753980434	NA	0.809969338151642	0.65803506476939	NA	0.930039801592931	0.507719387534641	0.36009831410783	NA	0.111622963986253	0.911122363182071	292	101	1	0.959787751557271	0.00731988279143524	1.00508664941608
1651	126	0.0239334892548078	NA	NA	NA	NA	NA	NA	0.911148346319254	NA	NA	NA	NA	NA	NA	0.111590195504714	0.911148346319254	698	151	1	0.959787751557271	0.0239334892548078	1.01672779929539
4473	5368	0.0271135316243321	NA	NA	NA	NA	NA	NA	0.911289005614607	NA	NA	NA	NA	NA	NA	0.111412805935937	0.911289005614607	698	151	1	0.959787751557271	0.0271135316243321	1.01897138052319
9233	234	-0.559218564904033	0.82501671423063	NA	-0.139682349692274	0.116290440051392	-0.104174773393453	-0.103562808303344	0.174305702944198	0.00368491883774079	NA	0.902693829573412	0.726189233267149	0.648789643576842	0.960367408883952	0.111282570993234	0.911392275887862	291	62	1	0.959787751557271	0.00577810966481968	1.00401311147583
3537	5772	-0.227847048276785	NA	NA	NA	0.243141797874983	NA	NA	0.219075128128959	NA	NA	NA	0.449214138037249	NA	NA	-0.111233683526281	0.911431041769708	197	146	1	0.959787751557271	0.00764737479909899	1.00531483014564
9995	10003	NA	NA	NA	-0.271719181645993	NA	NA	NA	NA	NA	NA	0.911437123656007	NA	NA	NA	-0.111226013712879	0.911437123656007	412	197	1	0.959787751557271	-0.271719181645993	0.828331879160274
10071	10007	NA	NA	NA	NA	0.0293103348536317	NA	NA	NA	NA	NA	NA	0.911866701353542	NA	NA	0.110684293576176	0.911866701353542	431	201	1	0.959907044016067	0.0293103348536317	1.02052415827354
1611	2717	0.0466744051643819	NA	NA	NA	NA	NA	NA	0.911870920651813	NA	NA	NA	NA	NA	NA	0.110678972979829	0.911870920651813	698	151	1	0.959907044016067	0.0466744051643819	1.03288125542475
2588	1213	0.378481886612084	-0.352915321643846	-0.221258566620295	0.0689109475406084	NA	NA	NA	0.294428927641699	0.124562799240518	0.671428920541063	0.918457099505923	NA	NA	NA	-0.110635358877021	0.911905507264825	522	86	1	0.959907044016067	-0.0316952635278621	0.97827008890279
5325	9703	0.071917276264192	0.715811487603775	-0.946458419410215	-0.294776737413903	-0.342995374553978	0.0463144778007063	NA	0.728867839421767	0.0265265047186097	0.296104301101239	0.78126948323458	0.470992971439942	0.872525714722393	NA	-0.110441007211594	0.912059632968537	750	45	1	0.959907044016067	-0.12503121495157	0.91698420261028
4039	7721	0.0255872905415711	NA	NA	NA	NA	NA	NA	0.912331850569331	NA	NA	NA	NA	NA	NA	0.110097752498637	0.912331850569331	698	151	1	0.959907044016067	0.0255872905415711	1.01789397081385
1352	5445	0.0250293880649419	NA	NA	NA	NA	NA	NA	0.912431352600975	NA	NA	NA	NA	NA	NA	0.109972287946119	0.912431352600975	698	151	1	0.959907044016067	0.0250293880649419	1.01750041863392
