Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR	PD_Avg_Log_FC	PD_Avg_FC
8073	7132	0.456592410653226	0.697495451531781	NA	0.177794543477118	0.197332132905737	0.199152050332128	NA	0.0422104789638557	0.00925352044915405	NA	0.837169801647463	0.470992971439942	0.104347307384968	NA	5.04024240005052	4.64942568223492e-07	868	7	0.00481773489193182	0.000301108430745739	0.345673317779998	1.27074391092259
6847	4247	0.431593109326817	0.484860965405046	NA	0.134961117208491	0.900734841605527	0.337921247163253	0.814670419691274	0.1704621390265	0.249788589343139	NA	0.915941561321115	0.0573624066207627	0.211589289257244	0.696353066317217	4.8601705386569	1.17284675971163e-06	869	100	0.0121530381241319	0.000486121524965276	0.517456950066735	1.43142983022526
2688	7427	0.46398260597561	1.05043962658797	NA	0.155777581529502	0.599745630925021	0.343297364886549	-0.0603182943294192	0.102127604393624	0.00862711594095085	NA	0.920678001078828	0.129294967083245	0.157903585120752	0.960367408883952	4.80017169117772	1.58529662419582e-06	867	62	0.0164268436199171	0.000608401615552485	0.425487419262539	1.34302617194664
1470	1847	0.53258262637272	0.558437307203826	0.399196973283613	0.267339056125387	0.233246022665583	0.340063768221542	0.208896421966481	0.115909100864121	0.00287997696226364	0.549634726370932	0.68911942582582	0.591123284982948	0.104347307384968	0.933016440633298	4.55430494565368	5.25590665811926e-06	909	44	0.0544617047914318	0.00122675436235412	0.362823167977022	1.28593985532753
6241	6510	0.674644930623442	0.980578817298904	0.0605186977114833	0.158053064824971	0.851533026341695	0.0942851399332287	NA	0.0503866908735244	0.0125641829986778	0.931673158326126	0.901468052431962	0.135646109985837	0.585654087433064	NA	4.49163498919197	7.06784809145766e-06	908	45	0.0732370419236843	0.00137392654987201	0.469935612788954	1.38504765231269
8105	7535	0.290602513286309	0.1547051353285	1.39004761511197	0.0387617298847864	0.467459237715323	0.277176265096418	NA	0.239605661520311	0.376775974548408	0.0773536637814084	0.955099927853373	0.19061920890191	0.0888515964200466	NA	4.48215353866711	7.38935470478985e-06	908	80	0.0765684934510324	0.00137871375956945	0.436458749403884	1.35327847929039
7802	8599	0.471523712773624	0.536785214759585	NA	NA	0.439746633629479	0.249950622745734	NA	0.116808204748936	0.0277947959117853	NA	NA	0.187750328397509	0.317582368917634	NA	4.4553738673096	8.37471220083152e-06	843	71	0.0867787678250162	0.0015224345232459	0.424501545977105	1.3421087214179
3354	2831	0.349817021449098	0.611802928782214	1.51396185395974	0.455579103879243	0.443751028192413	0.269362171630037	NA	0.136470340857755	0.0679760410338591	0.0768020092684015	0.784429360176357	0.432983389849909	0.292838309015049	NA	4.42756937154223	9.53009267834481e-06	908	80	0.0987508203330089	0.00164584700555015	0.607379017982124	1.52348893090158
4140	4444	0.46799654392294	0.697389302122517	0.906981227794773	NA	0.613835489391645	0.190987855714713	-0.0415539329162939	0.147461259323414	0.0138400462507304	0.139980898378562	NA	0.270417017870816	0.293158106486245	0.985127212433875	4.39179308486171	1.12419661981722e-05	891	52	0.11648925374546	0.00182014458977282	0.472606081005049	1.38761378788746
1539	1898	0.516409371611893	1.07204556028203	NA	NA	0.476244373226317	0.0447312396743644	0.162273685847661	0.0448783993107492	0.00436169500665501	NA	NA	0.265955308012227	0.891275418145651	0.933016440633298	4.36160170565755	1.29113752884713e-05	844	9	0.13378767073914	0.00185816209359916	0.454340846128453	1.37015665018922
