Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR
54801	HAUS6	-0.327835759728273	NA	NA	NA	NA	NA	NA	0.351242880986339	NA	NA	NA	NA	NA	NA	-0.932181216585226	0.351242880986339	-??????	#??????	1	0.600102724442615
1984	EIF5A	0.0606550908130217	-0.241488454281044	-0.09786362334515	-0.656656331166316	NA	NA	NA	0.798296633269657	0.29666691945989	0.874822518173586	0.676786262567515	NA	NA	NA	-0.932172944357704	0.351247155350749	+---???	####???	1	0.600102724442615
29993	PACSIN1	-0.573199659318107	NA	NA	NA	NA	NA	NA	0.351369598336802	NA	NA	NA	NA	NA	NA	-0.931936006091509	0.351369598336802	-??????	#??????	1	0.600212953835467
10600	USP16	-0.103329071569411	0.442222141011248	NA	-0.0235993013788107	-0.732936928442236	0.0201042648063297	0.0166780712614019	0.500263076259263	0.118506222784362	NA	0.976044895139709	0.168630239408011	0.893126023138457	0.991477089240666	-0.931667901677583	0.351508179714151	-+?--++	##?####	1	0.600313361030914
80344	DCAF11	0.0296303810059335	-0.110786275633909	NA	-0.14487681009788	-0.0776415155636947	-0.0847721351827335	0.213397494238044	0.818537106061431	0.381246591740055	NA	0.855689110947424	0.761812469523601	0.452931524775093	0.929399992157675	-0.9315981379847	0.351544245776451	+-?---+	##?####	1	0.600313361030914
345778	MTX3	-0.229941080155583	NA	NA	NA	NA	NA	NA	0.3516216772294	NA	NA	NA	NA	NA	NA	-0.931448375259679	0.3516216772294	-??????	#??????	1	0.600315775368899
79731	NARS2	-0.0104395758712119	-0.0473676773023151	NA	NA	-0.0160427366262192	-0.203602738818518	NA	0.963598164605378	0.843373915851152	NA	NA	0.960557171780434	0.271213922005615	NA	-0.931316745998759	0.35168974210149	--??--?	##??##?	1	0.600315775368899
5937	RBMS1	-0.292582122615263	0.701192978326384	-0.702471554546275	NA	0.739391138906559	-0.07284220914865	-0.0826065457693028	0.248112439581026	0.0313486189498614	0.320399321847078	NA	0.0963974881735947	0.744938907818732	0.951033761368434	0.931183347229501	0.351758730491526	-+-?+--	#!#?###	1	0.600315775368899
4613	MYCN	0.270003594425673	NA	NA	NA	NA	-0.00562871554520861	NA	0.375754769452374	NA	NA	NA	NA	0.983815694916625	NA	0.931147255693623	0.351777397031457	+????-?	#????#?	1	0.600315775368899
284161	GDPD1	-0.216283094322718	NA	NA	NA	NA	NA	NA	0.351990821628979	NA	NA	NA	NA	NA	NA	-0.930734687917854	0.351990821628979	-??????	#??????	1	0.600581079156839
124359	CDYL2	-0.345665716278038	NA	NA	NA	NA	NA	NA	0.352050307288703	NA	NA	NA	NA	NA	NA	-0.930619725341241	0.352050307288703	-??????	#??????	1	0.600583681943619
10402	ST3GAL6	-0.279484962301727	0.193651165083908	-0.797434549158168	NA	NA	-0.10351107930132	NA	0.460026740524366	0.403803542039718	0.243764737324776	NA	NA	0.806571430797714	NA	-0.930367658843867	0.352180757590183	-+-??-?	###??#?	1	0.600672219622101
157562	LOC157562	0.182191291073827	NA	NA	-0.113784595451355	NA	0.0818874465610193	NA	0.454044644926117	NA	NA	0.897668905679388	NA	0.678864943123622	NA	0.930295429050655	0.352218143835542	+??-?+?	#??#?#?	1	0.600672219622101
56851	EMC7	-0.164711595909118	1.01555722019518	NA	-0.265357511517902	-0.43045028208009	-0.112368969900974	NA	0.464274939557215	0.00509080983722374	NA	0.671907771220509	0.487881004555744	0.426166686697122	NA	-0.930098918144368	0.352319870879713	-+?---?	#!?###?	1	0.600746832656835
55285	RBM41	0.244994116090399	NA	NA	NA	NA	NA	NA	0.352478210765622	NA	NA	NA	NA	NA	NA	0.929793116995576	0.352478210765622	+??????	#??????	1	0.600917936813652
547	KIF1A	0.658213051503958	NA	-0.806609989994573	NA	NA	NA	0.531967863257513	0.312195560471952	NA	0.222197643674006	NA	NA	NA	0.929399992157675	0.929665094942606	0.352544512302656	+?-???+	#?#???#	1	0.60093210009543
54148	MRPL39	-0.0791657057176556	0.384617067533156	NA	-0.278261540872882	-0.150314548175318	-0.0889643914184575	NA	0.725173001221676	0.115552277925952	NA	0.630797738635488	0.547245080000403	0.532687961125253	NA	-0.928548214109012	0.353123270148327	-+?---?	##?###?	1	0.601370205485174
153642	ARSK	0.304692446575012	NA	NA	NA	NA	NA	NA	0.353186400549322	NA	NA	NA	NA	NA	NA	0.928426455780954	0.353186400549322	+??????	#??????	1	0.601370205485174
4077	NBR1	-0.302922685307678	0.617858276268448	NA	-0.180155580603295	-0.248940424167365	-0.144319553159123	-0.030111589290124	0.276502132930096	0.0322132847539053	NA	0.862891237084608	0.741591672256204	0.397774778643352	0.979442996095333	-0.92841774634825	0.353190916571267	-+?----	#!?####	1	0.601370205485174
57156	TMEM63C	-0.174486398834118	NA	NA	NA	NA	NA	NA	0.353201074978681	NA	NA	NA	NA	NA	NA	-0.928398155477228	0.353201074978681	-??????	#??????	1	0.601370205485174
169981	SPIN3	-0.214670028644108	NA	NA	NA	NA	NA	NA	0.353201074978681	NA	NA	NA	NA	NA	NA	-0.928398155477228	0.353201074978681	-??????	#??????	1	0.601370205485174
762	CA4	NA	-0.185139670687438	1.14669463183828	-0.128590538805893	0.205338263373149	NA	NA	NA	0.392786673238453	0.178185939388078	0.916320216092096	0.503173955804043	NA	NA	0.928130435218912	0.353339913837149	?-+-+??	?####??	1	0.601370205485174
84515	MCM8	0.214347390780271	NA	NA	NA	NA	NA	NA	0.353397748906478	NA	NA	NA	NA	NA	NA	0.92801893260992	0.353397748906478	+??????	#??????	1	0.601370205485174
7770	ZNF227	0.228196283148527	NA	NA	NA	NA	NA	NA	0.353397748906478	NA	NA	NA	NA	NA	NA	0.92801893260992	0.353397748906478	+??????	#??????	1	0.601370205485174
54602	NDFIP2	-0.263621028448476	NA	NA	NA	NA	NA	NA	0.353397748906478	NA	NA	NA	NA	NA	NA	-0.92801893260992	0.353397748906478	-??????	#??????	1	0.601370205485174
